2019_125,30-Apr-19,Caretta caretta,Sedgefield
2019_126,30-Apr-19,Caretta caretta,Sedgefield
2019_127,30-Apr-19,Caretta caretta,Struisbaai
2019_128,02-May-19,Caretta caretta,Mossel Bay
2019_129,03-May-19,Caretta caretta,Mossel Bay
2019_130,03-May-19,Caretta caretta,Mossel Bay
2019_131,03-May-19,Caretta caretta,Mossel Bay
2019_132,03-May-19,Caretta caretta,Mossel Bay
2019_133,03-May-19,Caretta caretta,Mossel Bay
2019_134,03-May-19,Caretta caretta,Mossel Bay
2019_135,03-May-19,Caretta caretta,Mossel Bay
2019_136,03-May-19,Caretta caretta,Mossel Bay
2019_137,03-May-19,Caretta caretta,Mossel Bay
2019_138,03-May-19,Caretta caretta,Mossel Bay
2019_139,03-May-19,Caretta caretta,Mossel Bay
2019_140,03-May-19,Caretta caretta,Mossel Bay
2019_141,03-May-19,Caretta caretta,Mossel Bay
2019_142,03-May-19,Caretta caretta,Mossel Bay
2019_143,03-May-19,Caretta caretta,Mossel Bay
2019_144,03-May-19,Caretta caretta,Mossel Bay
2019_145,03-May-19,Caretta caretta,Mossel Bay
2019_146,03-May-19,Caretta caretta,Mossel Bay
2019_147,03-May-19,Caretta caretta,Mossel Bay
2019_148,03-May-19,Caretta caretta,Mossel Bay
2019_149,03-May-19,Caretta caretta,Mossel Bay
2019_150,03-May-19,Caretta caretta,Mossel Bay
2019_151,03-May-19,Caretta caretta,Mossel Bay
2019_152,03-May-19,Caretta caretta,Mossel Bay
2019_153,03-May-19,Caretta caretta,Mossel Bay
2019_154,03-May-19,Caretta caretta,Mossel Bay
2019_155,03-May-19,Caretta caretta,Mossel Bay
2019_156,03-May-19,Caretta caretta,Mossel Bay
2019_157,04-May-19,Caretta caretta,Witsands
2019_158,05-May-19,Caretta caretta,Scarborough
2019_159,05-May-19,Caretta caretta,Mossel Bay
2019_160,06-May-19,Caretta caretta,Knysna
2019_161,06-May-19,Caretta caretta,Cape Agulhas
2019_162,07-May-19,Caretta caretta,Struisbaai
2019_163,07-May-19,Caretta caretta,Struisbaai
2019_164,07-May-19,Caretta caretta,Struisbaai
2019_165,07-May-19,Caretta caretta,Struisbaai
2019_166,07-May-19,Caretta caretta,Struisbaai
2019_167,07-May-19,Caretta caretta,Struisbaai
2019_168,07-May-19,Caretta caretta,Struisbaai
2019_169,07-May-19,Caretta caretta,Struisbaai
2019_170,07-May-19,Caretta caretta,Struisbaai
2019_171,07-May-19,Caretta caretta,Struisbaai
2019_172,07-May-19,Caretta caretta,Struisbaai
2019_173,07-May-19,Caretta caretta,Struisbaai
2019_174,07-May-19,Caretta caretta,Struisbaai
2019_175,08-May-19,Caretta caretta,Witsands
2019_176,08-May-19,Caretta caretta,Witsands
2019_177,08-May-19,Caretta caretta,Witsands
2019_178,08-May-19,Caretta caretta,Witsands
2019_179,08-May-19,Caretta caretta,Witsands
2019_180,08-May-19,Caretta caretta,Witsands
2019_181,08-May-19,Caretta caretta,Witsands
2019_182,08-May-19,Caretta caretta,Witsands
2019_183,08-May-19,Caretta caretta,Witsands
2019_184,08-May-19,Caretta caretta,Witsands
2019_185,08-May-19,Caretta caretta,Witsands
2019_186,08-May-19,Caretta caretta,Witsands
2019_187,09-May-19,Caretta caretta,Scarborough
2019_188,10-May-19,Caretta caretta,Witsands
2019_189,10-May-19,Caretta caretta,Witsands
2019_190,10-May-19,Caretta caretta,Witsands
2019_191,10-May-19,Caretta caretta,Witsands
2019_192,10-May-19,Caretta caretta,Witsands
2019_193,10-May-19,Caretta caretta,Witsands
2019_194,10-May-19,Caretta caretta,Witsands
2019_195,10-May-19,Caretta caretta,Struisbaai
2019_196,10-May-19,Caretta caretta,Arniston
2019_197,10-May-19,Caretta caretta,Cape Agulhas
2019_198,10-May-19,Caretta caretta,Witsands
2019_199,12-May-19,Caretta caretta,Arniston
2019_200,14-May-19,Caretta caretta,Tenikwa
2019_201,14-May-19,Caretta caretta,Sedgefield
2019_202,15-May-19,Caretta caretta,Struisbaai
2019_203,15-May-19,Caretta caretta,Struisbaai
2019_204,16-May-19,Caretta caretta,Clovelly
2019_205,16-May-19,Caretta caretta,Sedgefield
2019_206,16-May-19,Caretta caretta,Muizenberg
2019_207,16-May-19,Caretta caretta,Muizenberg
2019_208,17-May-19,Caretta caretta,Muizenberg
2019_209,17-May-19,Caretta caretta,Struisbaai
2019_210,17-May-19,Caretta caretta,Sedgefield
2019_211,18-May-19,Caretta caretta,Sedgefield
2019_212,19-May-19,Caretta caretta,Struisbaai
2019_213,21-May-19,Caretta caretta,Sedgefield
2019_214,27-May-19,Caretta caretta,Struisbaai
2019_215,29-May-19,Caretta caretta,Kommetjie
2019_216,30-May-19,Caretta caretta,Struisbaai
2019_217,31-May-19,Caretta caretta,Struisbaai
2019_218,03-Jun-19,Caretta caretta,Struisbaai
2019_219,06-Jun-19,Caretta caretta,Scarborough
2019_220,08-Jun-19,Caretta caretta,Scarborough
2019_221,11-Jun-19,Caretta caretta,Kommetjie
,23-Jun-19,Caretta caretta,Scarborough
2019_223,30-Jun-19,Caretta caretta,Kommetjie
2019_224,20-Jul-19,Caretta caretta,Hout Bay
2019_225,12-Aug-19,Caretta caretta,St Helena Bay
2019_226,11-Oct-19,Caretta caretta,Scarborough
TOA622,08-Mar-18,Caretta caretta,Mossel Bay
TOA623,08-Mar-18,Caretta caretta,Mossel Bay
TOA624,16-Mar-18,Caretta caretta,Witsands
TOA625,16-Mar-18,Caretta caretta,Gaansbaai
TOA626,16-Mar-18,Caretta caretta,Gaansbaai
TOA644,20-Mar-18,Caretta caretta,Strandfontein
TOA645,23-Mar-18,Caretta caretta,Strandfontein
TOA646,26-Mar-18,Caretta caretta,Struisbaai
TOA647,27-Mar-18,Caretta caretta,Tenikwa
TOA648,27-Mar-18,Caretta caretta,Tenikwa
TOA649,29-Mar-18,Caretta caretta,Gaansbaai
TOA650,02-Apr-18,Caretta caretta,Witsands
TOA662,06-Apr-18,Caretta caretta,Struisbaai
TOA663,06-Apr-18,Caretta caretta,Struisbaai
TOA665,08-Apr-18,Caretta caretta,Rooiels
TOA672,11-Apr-18,Caretta caretta,Kleinbaai
TOA673,13-Apr-18,Caretta caretta,Tenikwa
TOA674,13-Apr-18,Caretta caretta,Struisbaai
TOA675,13-Apr-18,Caretta caretta,Struisbaai
TOA676,13-Apr-18,Caretta caretta,Struisbaai
TOA677,13-Apr-18,Caretta caretta,St Francis
TOA681,19-Apr-18,Caretta caretta,Witsands
TOA684,24-Apr-18,Caretta caretta,Struisbaai
TOA685,24-Apr-18,Caretta caretta,Struisbaai
TOA686,24-Apr-18,Caretta caretta,Struisbaai
TOA687,24-Apr-18,Caretta caretta,Struisbaai
TOA688,24-Apr-18,Caretta caretta,Struisbaai
TOA689,04-May-18,Caretta caretta,Tenikwa
TOA691,06-May-18,Caretta caretta,Mossel Bay
,30-May-18,Caretta caretta,Gaansbaai
TOA719,01-Jun-18,Caretta caretta,Kommetjie
TOA720,03-Jun-18,Caretta caretta,Sandy Bay
TOA730,26-Jun-18,Caretta caretta,Kommetjie
TOA820,03-Sep-18,Caretta caretta,Table Bay
TOA887,19-Nov-18,Caretta caretta,Muizenberg
201836,16-Dec-18,Caretta caretta,Mossel Bay
201837,16-Dec-18,Caretta caretta,Mossel Bay
TOA 357,17-Mar-17,Caretta caretta,Plett
-,21-Mar-17,Caretta caretta,Struisbaai
TOA 358,21-Mar-17,Caretta caretta,Struisbaai
TOA 359,23-Mar-17,Caretta caretta,Witsands
TOA 360,12-Apr-17,Caretta caretta,Buffels Bay
TOA 361,12-Apr-17,Caretta caretta,Plett
TOA 362,15-Apr-17,Caretta caretta,Knysna
TOA 363,16-Apr-17,Caretta caretta,Struisbaai
TOA 364,16-Apr-17,Caretta caretta,Struisbaai
TOA 365,17-Apr-17,Caretta caretta,Cape Agulhas
TOA 366,17-Apr-17,Caretta caretta,Arniston
TOA 367,17-Apr-17,Caretta caretta,Wilderness
TOA 368,18-Apr-17,Caretta caretta,Blombos
TOA 369,18-Apr-17,Caretta caretta,Sedgefield
TOA 370,23-Apr-17,Caretta caretta,Mossel Bay
TOA 371,23-Apr-17,Dermochelys coriacea,Mossel Bay
TOA 372,25-Apr-17,Caretta caretta,Mossel Bay
TOA 373,30-Apr-17,Caretta caretta,Struisbaai
TOA 374,30-Apr-17,Caretta caretta,Struisbaai
TOA 375,30-Apr-17,Caretta caretta,Struisbaai
TOA 376,01-May-17,Caretta caretta,Mossel Bay
TOA 377,04-May-17,Caretta caretta,Plett
TOA 378,04-May-17,Caretta caretta,Knysna
TOA 379,04-May-17,Caretta caretta,Muizenberg
TOA 380,04-May-17,Caretta caretta,Muizenberg
TOA 381,16-May-17,Caretta caretta,Struisbaai
TOA 382,16-May-17,Caretta caretta,Struisbaai
TOA 383,16-May-17,Caretta caretta,Struisbaai
TOA 384,16-May-17,Caretta caretta,Struisbaai
TOA 385,05-Jun-17,Caretta caretta,Struisbaai
TOA 386,05-Jun-17,Caretta caretta,Struisbaai
TOA 387,09-Jun-17,Caretta caretta,Camps Bay
TOA 388,15-Jun-17,Caretta caretta,Milnerton
TOA 389,20-Jun-17,Caretta caretta,Struisbaai
TOA 400,08-Jul-17,Caretta caretta,Kommetjie
TOA498,26-Aug-17,Caretta caretta,Gaansbaai
,03-Sep-17,Caretta caretta,Fish Hoek
TOA511,11-Oct-17,Caretta caretta,Muizenberg
,21-May-16,Caretta caretta,Struisbaai
,21-May-16,Caretta caretta,Struisbaai
,25-May-16,Caretta caretta,Mossel Bay
,25-May-16,Caretta caretta,Mossel Bay
,25-May-16,Caretta caretta,Mossel Bay
,25-May-16,Caretta caretta,Mossel Bay
,25-May-16,Caretta caretta,Mossel Bay
,25-May-16,Caretta caretta,Mossel Bay
,12-Jun-16,Caretta caretta,Aghulas
,12-Jun-16,Caretta caretta,Gaansbaai
,12-Jun-16,Caretta caretta,Stillbaai
,07-Jul-16,Caretta caretta,Struisbaai
,20-Aug-16,Caretta caretta,Strandfontein
,06-Sep-16,Caretta caretta,Stillbaai
,11-Sep-16,Caretta caretta,Fish Hoek
,14-Sep-16,Caretta caretta,Unknown
,10-Nov-16,Caretta caretta,Muizenberg
,2015/03/13,Caretta caretta,Tenikwa
,2015/03/14,Caretta caretta,Muizenberg
,2015/03/20,Caretta caretta,Muizenberg
,2015/03/20,Caretta caretta,Struisbaai
,2015/03/25,Caretta caretta,Muizenberg
,2015/03/28,Caretta caretta,Arniston
